Account,82889357,Phillips Brooks House Association,,,,,,,,
Product,NP,Non Profit Package,,,,,,,,
Policy Number,PHPK2395041,Phillips Brooks House Association 4/1/2022 To 4/1/2023,,,,,,,,
Claim #,Claimant,Loss Type,Status,"Loss
Date",Open,Closed,"Total Loss
Paid","Expense
Payments","Subro/Sal
Recovered",Examiner
PHNP22061514105,,"COMBINED PROPERTY
DAMAGE",CL,6/10/2022,6/10/2022,6/27/2022,"$1,364",$70,$0,
PHNP22081524852,,"COMBINED PROPERTY
DAMAGE",CL,7/18/2022,8/3/2022,8/12/2022,"$1,201",$100,$0,
PHNP22091531089,,COMP GLASS,CL,8/10/2022,9/2/2022,9/26/2022,$671,$0,$0,
PHNP22121547742,,COLLISION,NP,11/14/2022,12/1/2022,12/1/2022,$0,$0,$0,
Totals for Policy Number: PHPK2395041,,,4,,,,"$3,236",$170,$0,
,,,,,,"Total Loss
Reserve",$0,,,
,,,,,,"Total Expense
Reserve",$0,,,
,,,,,,Total Incurred,"$3,406",,,
